criticalRate,death,deathRate,confCaseRate,createDt,confCase,gubun
1.01,414,14.53,11.28,2021-10-31,41126,60-69
0,47,0.22,14.41,2022-04-16,2336964,20-29
0,0,0,13.1,2023-08-12,4431361,50-59
0,37,0.11,10.12,2023-03-24,3110829,0-9
1.79,131,46.45,57.01,2020-07-01,7326,Female
0.12,3690,11.36,10.83,2023-01-06,3187102,60-69
0,0,0,1.3,2020-05-05,140,0-9
0,55,0.24,14.37,2022-05-04,2500299,20-29
1.53,469,49.79,48.86,2021-01-02,30573,Male
0.72,14,6.11,18.28,2020-04-16,1940,50-59
0.11,17369,50.74,53.7,2023-03-28,16530598,Female
0,30,0,11,2022-08-30,2608288,0-9
2.18,41,13.58,12.97,2020-08-06,1880,60-69
6.68,163,32.02,7.88,2020-11-23,2439,70-79
0.92,1090,15.75,10.93,2022-02-08,118267,60-69
0,0,0,5.46,2021-10-02,17260,0-9
0,0,0,3.58,2023-08-13,1214526,80 over
0.01,474,1.36,15.2,2023-06-07,4838213,40-49
0.75,1468,50.76,53.14,2021-11-03,196958,Male
0.12,4,0.9,13.31,2020-10-17,3341,40-49
1.36,975,49.47,50.1,2021-06-05,71938,Male
0.15,2273,11.91,9.92,2022-04-09,1505335,60-69
0.24,4183,50.6,48.93,2022-03-02,1708957,Male
0.43,19,4.68,18.55,2020-09-28,4390,50-59
1.02,305,13.38,11.97,2021-08-29,29757,60-69
0,12488,49,47,2022-08-14,10014990,Male
0.31,51,3.28,18.64,2021-02-21,16217,50-59
14.3,3244,49.41,3.06,2022-01-24,22686,80 over
0.17,2,0.78,10.89,2020-05-11,1188,30-39
0.12,3549,11.46,10.72,2022-12-09,2961079,60-69
7.2,138,33.17,8,2020-10-02,1917,70-79
1.8,142,47.02,54.46,2020-08-06,7896,Female
1.01,377,14.47,11.13,2021-10-13,37355,60-69
0.01,319,1.32,15.45,2022-05-27,2788396,40-49
0,0,0,26.97,2020-03-23,2417,20-29
0,0,0,14.48,2023-08-26,4979238,20-29
0.13,12575,51.27,52.98,2022-06-27,9711135,Female
0.04,44,0.66,14.72,2022-01-28,116845,30-39
0,0,0,16.67,2020-02-01,2,30-39
0.84,1806,48.74,47.26,2021-12-02,216273,Female
0.74,1310,50.5,52.93,2021-10-12,176880,Male
0,29,0.11,11.36,2022-08-20,2514431,0-9
0,0,0,0.97,2020-03-12,76,0-9
0,0,0,14.63,2020-02-20,12,30-39
0.02,12,0.42,18.82,2021-11-01,68960,20-29
0.01,331,1.34,15.43,2022-07-10,2855859,40-49
0.08,80,1.37,14.64,2022-01-05,95112,40-49
0.12,16707,49.22,46.32,2023-02-26,14128477,Male
0,13870,49,47,2022-09-29,11572341,Male
0.88,1192,49.79,47.96,2021-09-18,136213,Female
9.69,82,29.08,6.65,2020-06-28,846,70-79
1.82,130,46.43,57.57,2020-06-21,7151,Female
0,0,0,3.75,2021-01-26,2843,0-9
0.01,12,0.27,15.8,2021-12-14,83527,20-29
0.13,8769,48.63,47.25,2022-04-06,6877092,Male
0.03,1431,4.09,13.06,2023-06-27,4200285,50-59
0,0,0,4.56,2021-06-29,7119,0-9
0.11,12,0.84,14.34,2021-02-02,11303,40-49
0,0,0,0,2020-01-27,0,20-29
0,0,0,27.07,2020-03-25,2473,20-29
1.52,202,46.54,53.5,2020-10-13,13264,Female
0.64,12,6.9,18.75,2020-04-03,1887,50-59
0,72,0.25,14.79,2022-10-01,3666173,20-29
1.18,47,10.71,15.94,2020-10-15,3983,60-69
0,0,0,8.59,2021-09-12,23458,10-19
1.87,173,53.07,45.34,2020-09-02,9272,Male
0,0,0,7.14,2021-06-02,10107,10-19
0.12,16888,49.24,46.29,2023-04-05,14292065,Male
0,0,0,1.24,2020-04-12,130,0-9
0,0,0,27.28,2020-04-10,2851,20-29
0.08,8,0.74,14.26,2021-01-08,9604,40-49
0,0,0,13.06,2023-07-09,4232781,50-59
26.31,131,48.7,4.35,2020-05-30,498,80 over
0.83,1190,50.27,51.94,2021-09-14,143306,Male
0,0,0,12.45,2023-07-22,4085321,10-19
2.19,29,13.74,12.66,2020-04-11,1327,60-69
0,0,0,2.51,2020-10-22,640,0-9
0,12114,49,47,2022-07-24,9028141,Male
18.15,1127,53.69,3.09,2021-08-02,6208,80 over
1.04,987,15.89,13.92,2022-01-13,94553,60-69
0.1,2,0.66,12.78,2020-08-15,1922,30-39
0.06,2,0.44,12.32,2020-10-21,3132,30-39
0,34,0.12,11,2022-10-24,2785387,0-9
25.12,151,49.83,4.14,2020-08-07,601,80 over
0.68,13,6.99,18.52,2020-04-06,1905,50-59
1.22,207,11.71,15.49,2021-04-11,16966,60-69
0.3,163,6.21,15.96,2021-10-15,54157,50-59
0,0,0,12.43,2023-07-15,4047991,10-19
0,18,0.06,12.67,2022-12-11,3511969,10-19
0,2,0.02,13.73,2022-03-18,1188545,10-19
0.12,3791,11.35,10.9,2023-01-29,3286038,60-69
10.36,81,29.35,6.57,2020-06-10,782,70-79
0,387,1,15,2022-09-27,3767978,40-49
0.02,3,0.16,14.89,2021-05-18,19776,20-29
16.42,486,55.29,4.95,2020-12-30,2959,80 over
0,0,0,15.39,2021-01-26,11672,20-29
1.97,19618,59.69,3.35,2023-01-13,994755,80 over
0,14696,51,53,2022-10-14,13353375,Female
0.16,2868,11.8,10.14,2022-06-07,1843819,60-69
0.01,3,0.05,8.25,2022-01-17,57451,0-9
0,0,0,53.86,2023-06-30,17358634,Female
0.11,13592,51.16,53.16,2022-08-28,12218365,Female
3.98,1541,27.06,6.07,2022-01-02,38763,70-79
1.31,180,11.52,15.69,2021-02-22,13697,60-69
0.12,16629,49.22,46.33,2023-02-15,14078386,Male
0.16,2903,11.84,10.14,2022-06-26,1857652,60-69
0.03,45,0.65,14.76,2022-02-07,154208,30-39
4,1877,27.46,4.8,2022-02-04,44837,70-79
0,0,0,2.18,2020-08-29,422,0-9
0.02,9,0.37,18.81,2021-09-20,54097,20-29
0.12,13912,48.91,46.77,2022-10-01,11597534,Male
0,37,0.11,10.17,2023-02-15,3089713,0-9
0,0,0,20.3,2020-09-21,4678,20-29
0.01,395,1.36,15.26,2022-10-24,3861294,40-49
0,22,0.07,12.45,2023-02-07,3771175,10-19
0,8,0.04,13.15,2022-04-28,2254428,10-19
24.69,140,49.3,4.32,2020-07-06,567,80 over
1.8,131,46.45,57.14,2020-06-28,7265,Female
0.59,5836,23.04,4.82,2022-08-09,997196,70-79
0,0,0,19.24,2020-11-13,5411,20-29
0,0,0,28.18,2020-03-15,2300,20-29
0,0,0,0,2020-01-25,0,60-69
0,3,0.04,9.25,2022-02-08,100097,0-9
0.19,3,1.08,13.12,2020-06-12,1575,40-49
1.79,143,46.89,54.37,2020-08-11,7971,Female
0.64,5509,23.04,4.82,2022-05-21,864175,70-79
0,0,0,12.4,2023-07-30,4115525,10-19
0.16,1896,12.49,9.73,2022-03-28,1167540,60-69
0,37,0.11,9.91,2023-06-08,3157276,0-9
0.08,1,0.96,13.75,2020-03-22,1223,40-49
1.18,64,12.1,15.16,2020-12-03,5414,60-69
0,79,0.2,14.6,2023-01-27,4385436,20-29
0.47,7088,22.77,5.43,2022-12-13,1511964,70-79
1.02,254,12.28,13.26,2021-07-24,24844,60-69
0.00%,116,0,15,2022-08-06,3008475,30-39
0.93,1144,49.91,48.42,2021-09-01,122708,Female
0,37,0.12,10.4,2022-12-29,3010190,0-9
1.18,212,11.73,15.43,2021-04-22,18001,60-69
0,0,0,14.54,2023-07-02,4689745,20-29
0,108,0.45,14.7,2022-05-31,2661855,30-39
0.01,5,0.24,17.19,2021-08-01,34346,20-29
0.01,474,1.36,15.21,2023-05-26,4810115,40-49
0.12,16931,49.26,46.28,2023-04-15,14337660,Male
0.11,17014,50.9,53.7,2023-01-31,16192149,Female
0,0,0,8.99,2021-10-18,30859,10-19
0,71,0,15,2022-09-21,3626658,20-29
24.79,148,49.33,4.19,2020-07-29,597,80 over
0.29,61,3.4,18.53,2021-04-17,21026,50-59
0,0,0,25,2020-02-04,4,20-29
2.57,154,52.92,44.01,2020-07-16,5991,Male
0.11,15605,51.15,53.45,2022-11-30,14484987,Female
18.74,1096,54.91,3.89,2021-06-18,5850,80 over
10.32,3557,50,2,2022-02-14,34454,80 over
0.12,3913,11.37,10.94,2023-04-24,3401386,60-69
0,14,0.19,17.89,2022-02-19,332440,20-29
2.38,15170,58.77,2.91,2022-08-18,636835,80 over
0.3,200,5.64,15.06,2021-11-28,66414,50-59
17.44,1156,52.5,2.82,2021-08-21,6628,80 over
0.04,2,0.38,12.9,2020-12-02,4536,30-39
0.08,7,0.7,14.25,2021-01-05,9255,40-49
2.21,16650,59.02,3.06,2022-09-25,752433,80 over
0.12,16871,49.25,46.3,2023-03-30,14265307,Male
18.68,647,56.75,5.01,2021-01-11,3464,80 over
0,0,0,15.26,2021-02-03,12104,20-29
1.7,274,52.39,47.71,2020-11-29,16108,Male
0.12,4,0.91,13.33,2020-10-14,3315,40-49
0,0,0,25,2020-02-04,4,40-49
2.5,41,14.54,12.96,2020-06-27,1640,60-69
2.57,153,52.94,43.86,2020-07-15,5944,Male
0.01,193,1.27,15.46,2022-03-28,1856191,40-49
0.11,17336,50.73,53.69,2023-03-20,16484399,Female
0.23,82,3.9,17.91,2021-08-03,36216,50-59
0.01,481,1.34,15.15,2023-08-31,5230434,40-49
0,74,0.25,14.72,2022-11-01,3770873,20-29
0.12,13411,48.89,46.8,2022-09-10,11220985,Male
19.66,985,55.09,4.47,2021-04-15,5010,80 over
0,0,0,66.67,2020-02-03,10,Male
0.71,3513,51.22,51.25,2022-02-05,497603,Male
2.92,126,52.94,40.33,2020-04-22,4313,Male
0.12,14062,48.96,46.75,2022-10-12,11700469,Male
0,0,0,7.25,2021-07-02,11497,10-19
0,0,0,75,2020-01-29,3,50-59
0.11,13515,51.17,53.16,2022-08-26,12121065,Female
0,0,0,10.11,2023-03-26,3111903,0-9
0.17,2,0.83,10.7,2020-04-26,1148,30-39
0,0,0,14.56,2023-06-06,4632480,20-29
0,156,0.5,14.6,2023-02-04,4424252,30-39
0.08,2,0.62,12.49,2020-08-31,2491,30-39
0,60,0,15,2022-06-12,2652365,20-29
0.08,15,0.79,14.94,2021-05-17,19761,40-49
0.9,49,47.12,61.46,2020-03-22,5468,Female
0.15,2425,11.92,9.98,2022-04-14,1594801,60-69
1.76,808,50.12,50.64,2021-03-03,45981,Female
1.22,42,11.73,15.58,2020-09-13,3454,60-69
0,34,0.12,11.09,2022-10-01,2749154,0-9
0,0,0,5.5,2020-10-14,1369,10-19
0,39,0.11,9.54,2023-08-16,3242229,0-9
0.76,3286,24.46,4.17,2022-03-23,435017,70-79
0,16,0.06,12.8,2022-09-24,3147335,10-19
0,0,0,13.09,2023-08-06,4388481,50-59
5.58,567,28.41,6.76,2021-06-18,10154,70-79
0,2,0.02,13.8,2022-03-14,947385,10-19
0,3,0.04,9.46,2022-02-12,122412,0-9
1.79,141,46.84,54.61,2020-08-04,7877,Female
0,0,0,6.23,2020-12-22,3205,10-19
0.01,380,1.37,15.29,2022-09-15,3709061,40-49
1.9,198,52.52,45.75,2020-09-18,10423,Male
2.59,40,14.44,12.79,2020-06-14,1546,60-69
14.27,3096,49.29,3.15,2022-01-15,21698,80 over
0.47,7057,22.78,5.42,2022-12-09,1496593,70-79
0.12,3375,12,11,2022-11-02,2712894,60-69
2.18,17150,59.1,3.1,2022-10-25,785877,80 over
0,0,0,8.26,2021-08-15,18495,10-19
0,0,0,0,2020-01-20,0,Male
2.68,13971,58.93,2.93,2022-05-15,520993,80 over
0.74,15,5.58,17.77,2020-05-30,2033,50-59
0,16,0.06,12.81,2022-08-26,2920341,10-19
0.16,2898,11.84,10.14,2022-06-22,1854914,60-69
0,0,0,5.51,2020-05-13,604,10-19
0.15,2,0.74,11.27,2020-06-01,1296,30-39
0,16,0,13,2022-09-23,3143571,10-19
17.36,1184,51.66,2.69,2021-09-01,6820,80 over
0,0,0,53.69,2023-03-13,16446302,Female
0,0,0,18.13,2020-12-11,7392,20-29
0,0,0,13.06,2023-07-15,4252857,50-59
0,0,0,4.29,2021-04-20,4943,0-9
0.15,2,1.15,13.42,2020-04-03,1350,40-49
0.12,2,0.69,12.01,2020-07-12,1611,30-39
0.3,168,6.17,15.83,2021-10-22,55232,50-59
0.12,17280,49.3,46.15,2023-06-29,14856298,Male
1.93,20510,59.62,3.43,2023-04-20,1064882,80 over
20.48,163,50.31,3.94,2020-09-01,796,80 over
0,0,0,5.55,2020-09-14,1236,10-19
0.12,3623,11.4,10.79,2022-12-25,3091700,60-69
0.21,3,1.21,13.26,2020-05-01,1429,40-49
1.33,981,49.52,50.19,2021-06-11,73705,Male
0,22,0.07,12.44,2023-02-18,3783320,10-19
0.03,1333,4.09,13.02,2023-01-08,3842588,50-59
1.74,21270,59.75,3.59,2023-08-17,1223388,80 over
0.09,14,0.79,14.68,2021-04-13,16244,40-49
1.66,870,49.89,49.66,2021-04-04,52274,Male
1.17,47,10.59,15.94,2020-10-19,4029,60-69
0,0,0,66.67,2020-02-01,8,Male
5.18,610,28.01,5.15,2021-08-18,11786,70-79
0,72,0.25,14.78,2022-10-04,3672729,20-29
0.01,3,0.06,7.61,2021-12-27,46574,0-9
0,111,0,15,2022-07-03,2706055,30-39
0,39,0.11,9.55,2023-08-15,3240674,0-9
0.14,11546,48.63,47,2022-05-16,8363785,Male
0.14,11767,48.69,47,2022-05-30,8500635,Male
1.98,249,52.53,46.66,2020-11-04,12563,Male
0,0,0,10.28,2022-01-17,71581,10-19
0,1,0.03,6.44,2021-12-04,30147,0-9
0.17,3,1.04,13.13,2020-07-13,1770,40-49
0,1175,4,13,2022-09-29,3147856,50-59
1.06,231,11.7,15.09,2021-06-07,21819,60-69
0.13,9865,48.47,47.15,2022-04-14,7533797,Male
0.18,3,1.06,13.11,2020-06-25,1647,40-49
6.41,482,28.01,7.43,2021-03-27,7524,70-79
0,38,0.11,9.76,2023-07-21,3198728,0-9
2.83,39,14.61,12.29,2020-05-25,1377,60-69
0,0,0,75,2020-01-27,3,50-59
0.72,14,6.45,18.34,2020-04-13,1932,50-59
0,73,0.25,14.77,2022-10-15,3706150,20-29
16.68,284,51.08,4.32,2020-12-09,1703,80 over
0,0,0,13.06,2023-05-14,4103366,50-59
0,0,0,4.41,2021-05-22,5975,0-9
0.75,1454,51.04,53.16,2021-10-31,193876,Male
0,9,0.04,13.1,2022-05-27,2364864,10-19
1.94,126,48.09,58.84,2020-05-16,6494,Female
0.13,12472,51.33,53,2022-06-07,9632033,Female
0.08,1,1.1,13.8,2020-03-19,1182,40-49
0,61,0,15,2022-07-06,2695997,20-29
0.01,3,0.06,7.66,2021-12-28,47162,0-9
0.44,22,4.58,18.28,2020-11-09,5036,50-59
0,105,0.44,14.71,2022-05-16,2617678,30-39
1.89,20677,59.61,3.47,2023-05-22,1093621,80 over
1.76,816,50.15,50.6,2021-03-05,46361,Female
1.67,865,49.8,49.67,2021-04-02,51754,Male
0,20,0.06,12.56,2023-01-10,3718770,10-19
7.08,147,32.17,8.04,2020-10-25,2076,70-79
0,0,0,1.3,2020-05-13,143,0-9
0.76,1425,51.11,53.09,2021-10-26,188131,Male
10,81,29.03,6.64,2020-06-17,810,70-79
1.33,265,48.27,52.05,2020-12-07,19859,Female
0,0,0,5.72,2020-11-21,1735,10-19
1.67,868,49.89,49.68,2021-04-03,52028,Male
0.61,5764,23.03,4.76,2022-07-30,938514,70-79
19.47,990,54.97,4.43,2021-04-19,5084,80 over
0,14,0,13,2022-08-05,2654767,10-19
0.04,19,0.77,15.78,2021-09-29,48722,30-39
0.01,14,0.21,16.44,2022-02-02,145349,20-29
20.6,930,56.3,4.79,2021-03-11,4514,80 over
0,79,0.23,14.56,2023-02-21,4433563,20-29
0.01,463,1.35,15.23,2023-03-25,4685767,40-49
0,8,0.06,12.54,2022-03-22,1245789,0-9
1,1078,15.77,11.54,2022-02-04,107890,60-69
0.2,3,1.14,13.23,2020-05-21,1471,40-49
4.18,831,26.68,5,2021-11-15,19890,70-79
0.01,460,1.35,15.24,2023-03-13,4668771,40-49
0.12,13318,48.88,46.81,2022-09-07,11137379,Male
0.03,15,0.62,15.58,2021-09-22,45330,30-39
1.33,174,11.49,15.72,2021-02-13,13075,60-69
0,0,0,5.54,2020-11-02,1480,10-19
0,34,0.11,10.7,2022-11-30,2899222,0-9
6.81,94,29.75,7.24,2020-08-28,1381,70-79
0,0,0,5.21,2020-03-18,438,10-19
0.03,1386,4.08,13.07,2023-02-26,3985183,50-59
1.54,902,49.81,49.75,2021-04-23,58439,Male
0,0,0,15.2,2023-06-04,4831954,40-49
0,0,0,3.3,2020-12-20,1638,0-9
0.01,334,1.35,15.42,2022-07-20,2919879,40-49
0,37,0.11,9.92,2023-06-05,3155000,0-9
1.01,363,14.31,11.15,2021-10-06,36065,60-69
5.09,634,27.66,4.91,2021-09-01,12455,70-79
0,17,0,13,2022-10-29,3256415,10-19
0,0,0,5.22,2021-09-03,13430,0-9
0,0,0,25.7,2020-07-21,3551,20-29
1.07,84,12.03,15.58,2020-12-21,7880,60-69
0.12,3672,11.38,10.82,2023-01-02,3151587,60-69
0,0,0,14.67,2023-06-07,4669846,30-39
6.31,488,28.05,7.39,2021-04-03,7739,70-79
0,9,0.04,13.1,2022-06-09,2384237,10-19
1.51,94,47,59.92,2020-04-08,6222,Female
1.02,295,13.24,12.1,2021-08-24,28948,60-69
7.14,152,32.48,7.97,2020-11-02,2130,70-79
0.04,1009,4.13,12.35,2022-06-19,2256587,50-59
0.14,4,1.21,13.42,2020-09-04,2797,40-49
0,34,0,11,2022-10-18,2775789,0-9
0.03,1372,4.08,13.06,2023-02-06,3952399,50-59
0,0,0,45.99,2023-08-19,15694541,Male
2.93,127,52.26,40.38,2020-04-27,4336,Male
1.54,232,47.15,53.14,2020-11-14,15057,Female
1.83,20976,59.64,3.51,2023-07-19,1147509,80 over
0.04,1293,4.11,12.94,2022-12-20,3661081,50-59
0.16,2893,11.84,10.14,2022-06-18,1852359,60-69
2.15,41,13.44,13.05,2020-08-09,1905,60-69
0.15,2962,11.81,10.05,2022-08-02,2003828,60-69
0.03,12,0.53,15.09,2021-08-30,37722,30-39
0,18,0.06,12.68,2022-12-02,3449985,10-19
11.03,80,29.63,6.32,2020-05-31,725,70-79
0,0,0,5.47,2020-07-31,782,10-19
0.18,2,0.85,10.67,2020-04-19,1137,30-39
0.12,3878,11.37,10.93,2023-03-14,3349343,60-69
0,0,0,5.54,2020-11-15,1581,10-19
0.01,13,0.22,14.9,2022-01-05,96819,20-29
0.16,2790,11.88,10.15,2022-05-11,1793060,60-69
0,331,1,15,2022-07-02,2835777,40-49
0.82,2289,51.37,52.35,2021-12-15,280839,Male
0,74,0,15,2022-10-26,3742955,20-29
0,12589,51,53,2022-07-02,9737848,Female
0.66,15,5.32,17.98,2020-06-25,2259,50-59
1.07,1030,49.69,50.96,2021-07-25,96240,Male
0.04,983,4.09,12.34,2022-05-24,2220509,50-59
0,81,0.23,14.52,2023-07-19,4748693,20-29
0,0,0,5.52,2020-11-01,1471,10-19
0,39,0.11,9.5,2023-08-23,3254974,0-9
1.96,19754,59.7,3.4,2023-01-19,1005444,80 over
0,6677,23,5,2022-10-28,1339484,70-79
19.7,91,49.73,4.51,2020-04-05,462,80 over
0.01,414,1.35,15.23,2022-12-02,4144497,40-49
0,0,0,5.62,2020-11-19,1664,10-19
0,18,0.08,12.26,2022-04-22,2053779,0-9
0,11,0.07,12.59,2022-04-01,1683463,0-9
0,46,0.23,14.44,2022-04-11,2227830,20-29
0,12634,49,47,2022-08-19,10311673,Male
0,16,0,13,2022-08-31,2976751,10-19
0,11869,49,47,2022-06-12,8567492,Male
0,79,0.23,14.56,2023-02-28,4443583,20-29
6.1,338,27.77,7.78,2021-01-15,5542,70-79
0.01,469,1.36,15.23,2023-04-14,4715927,40-49
6.5,455,27.71,7.54,2021-03-08,6996,70-79
3.78,1420,26.79,6.14,2021-12-27,37557,70-79
1.02,334,13.95,11.51,2021-09-18,32694,60-69
0.11,17245,50.78,53.68,2023-02-27,16372637,Female
0,98,0.44,14.73,2022-04-26,2505642,30-39
9.41,88,29.53,6.63,2020-07-25,935,70-79
0.01,479,1.35,15.18,2023-08-03,5065737,40-49
0.04,20,0.8,15.86,2021-10-04,50720,30-39
0,0,0,25,2020-01-28,1,30-39
0,0,0,8.65,2021-09-17,24374,10-19
1.61,885,49.86,49.69,2021-04-13,54995,Male
5.71,542,28.35,7.11,2021-05-19,9486,70-79
0.45,7672,22.67,5.58,2023-02-18,1696976,70-79
6.76,159,31.93,7.95,2020-11-19,2353,70-79
0,0,0,14.68,2023-06-25,4715850,30-39
0,0,0,14.7,2023-08-19,5015309,30-39
0.23,1,6.25,14.91,2020-02-29,437,40-49
5.84,527,28.47,7.19,2021-05-06,9019,70-79
0.13,4,1,13.33,2020-09-26,3134,40-49
0.12,3810,11.34,10.91,2023-02-05,3299938,60-69
0,34,0.12,10.96,2022-10-31,2799632,0-9
0.84,1896,48.7,47.39,2021-12-06,226226,Female
0,74,0.24,14.66,2022-11-24,3926393,20-29
6.38,372,27.58,7.77,2021-01-24,5835,70-79
0.01,3,0.15,15.09,2021-06-08,21888,20-29
1.82,140,47.3,55.75,2020-07-21,7702,Female
0,141,0.46,14.56,2022-12-09,4021363,30-39
0.12,13003,48.85,46.84,2022-08-29,10785968,Male
10.06,33,35.11,3.79,2020-03-20,328,80 over
0,0,0,19.51,2020-10-30,5148,20-29
0.12,3897,11.36,10.93,2023-04-05,3373447,60-69
0.47,7069,22.78,5.42,2022-12-10,1501090,70-79
0,0,0,27.27,2020-01-31,3,20-29
0.64,4756,23.37,4.63,2022-04-14,739359,70-79
0,0,0,5.57,2020-07-03,722,10-19
0.04,8,0.39,14.14,2021-07-06,22845,30-39
6.19,352,27.44,7.77,2021-01-19,5683,70-79
2.65,11152,58.41,2.78,2022-04-09,421609,80 over
2.69,14468,58.8,2.91,2022-07-08,537668,80 over
0,16,0,13,2022-09-21,3136238,10-19
0.45,7701,22.69,5.58,2023-02-25,1702828,70-79
0.12,4,0.95,13.33,2020-10-06,3232,40-49
18.76,85,50.3,4.54,2020-04-02,453,80 over
0.47,7020,22.8,5.41,2022-12-06,1483391,70-79
0.03,1372,4.07,13.06,2023-02-10,3961070,50-59
1.62,143,46.73,54.85,2020-08-19,8808,Female
0.29,265,4.92,14.53,2021-12-29,90250,50-59
0.27,71,3.59,18.4,2021-06-08,26691,50-59
0,20,0.06,12.55,2023-01-12,3726966,10-19
0.01,3,0.15,16.29,2021-07-15,28265,20-29
0.01,50,0.66,14.95,2022-02-23,348127,30-39
0,138,0.47,14.58,2022-10-31,3725967,30-39
0.64,5397,22.97,4.81,2022-05-11,848846,70-79
1.06,1009,15.93,13.74,2022-01-17,95619,60-69
0,0,0,1.43,2020-06-21,177,0-9
1.77,666,50.61,50.97,2021-01-21,37672,Female
0,0,0,53.94,2023-07-30,17897746,Female
0,0,0,17.95,2020-12-12,7489,20-29
0,0,0,53.88,2023-07-15,17550392,Female
2.98,133,51.95,40.88,2020-05-11,4460,Male
1.46,952,50.34,50.15,2021-05-13,65011,Female
15.37,394,53.32,4.88,2020-12-23,2563,80 over
0.04,2,0.38,12.83,2020-12-01,4447,30-39
0.26,73,3.66,18.36,2021-06-19,27671,50-59
0,10,0.04,13.09,2022-07-05,2411027,10-19
0,0,0,15.16,2023-08-20,5181048,40-49
1.87,128,46.89,58,2020-06-08,6851,Female
0.94,1079,49.79,51.17,2021-08-16,115368,Male
0,0,0,15.9,2021-01-02,9948,20-29
0.12,2,0.68,12.2,2020-07-17,1668,30-39
1.21,205,11.61,15.49,2021-04-10,16874,60-69
0.44,7925,0,5.7,2023-06-13,1818632,70-79
0,66,0.25,14.97,2022-08-23,3361277,20-29
0.01,157,1.3,15.48,2022-03-19,1399382,40-49
0.11,16739,51,53.63,2023-01-12,15926351,Female
0,75,0.24,14.63,2022-12-11,4055922,20-29
0.00%,120,0,15,2022-08-12,3116566,30-39
1.84,264,52.49,47.21,2020-11-21,14323,Male
1.31,152,11.69,15.75,2021-01-20,11577,60-69
0.01,164,1.29,15.45,2022-03-21,1480868,40-49
0,37,0.11,9.87,2023-06-23,3168173,0-9
0.12,15149,48.91,46.51,2022-12-09,12842234,Male
0.01,319,1.32,15.44,2022-05-28,2790362,40-49
0.28,122,5.36,17.48,2021-08-28,43163,50-59
1.72,630,50.97,50.98,2021-01-16,36605,Female
0.64,16,5.37,17.65,2020-07-25,2487,50-59
0.04,1188,4.14,12.74,2022-10-12,3187673,50-59
0.48,6903,22.84,5.37,2022-11-24,1439467,70-79
0,3997,51,49,2022-02-26,1392557,Male
0.64,5662,23.04,4.8,2022-07-05,883795,70-79
0,0,0,14.55,2023-06-24,4671654,20-29
2.78,38,14.45,12.35,2020-05-19,1368,60-69
1.37,42,12.88,14.98,2020-09-02,3063,60-69
13,3396,49.68,2.69,2022-02-04,25177,80 over
0,159,0.47,14.64,2023-03-04,4473253,30-39
0,20,0.06,12.51,2023-01-20,3745923,10-19
0.13,12678,51.27,52.99,2022-07-16,9920127,Female
0,0,0,9.92,2023-06-06,3155756,0-9
0.06,2,0.45,12.32,2020-10-19,3115,30-39
0.3,55,3.26,18.54,2021-03-18,18034,50-59
0.12,17012,0,46.24,2023-05-08,14468160,Male
0,22,0.06,12.43,2023-03-20,3817898,10-19
0.15,2,0.73,11.23,2020-06-05,1310,30-39
0.04,1170,4.15,12.72,2022-09-25,3131412,50-59
1.41,989,50.48,49.98,2021-05-31,70134,Female
0,80,0.23,14.57,2023-04-19,4520820,20-29
0,0,0,36.36,2020-01-31,4,Female
0,4,0.02,13.52,2022-04-05,1929024,10-19
1.52,912,50.19,50.23,2021-04-26,59965,Female
0.49,6751,22.9,5.31,2022-11-09,1378529,70-79
0,0,0,6.37,2021-01-16,4572,10-19
0,0,0,2.39,2020-09-20,549,0-9
0,0,0,1.73,2020-08-02,249,0-9
0,27,0.11,11.74,2022-08-01,2326330,0-9
0,0,0,19.5,2020-11-01,5193,20-29
6.43,468,27.73,7.48,2021-03-18,7277,70-79
10.03,71,29.58,6.61,2020-04-25,708,70-79
0.13,12211,51.37,53,2022-05-17,9450219,Female
0,23,0.07,12.41,2023-05-30,3931591,10-19
18.63,84,50.91,4.56,2020-04-01,451,80 over
0,0,0,12.45,2023-04-09,3848186,10-19
0.87,1201,49.85,47.92,2021-09-20,137784,Female
0,152,0.46,14.62,2023-01-25,4392215,30-39
0,23,0.07,12.4,2023-06-26,3984414,10-19
0.01,435,1.35,15.24,2022-12-31,4429830,40-49
0.04,1141,4.15,12.7,2022-09-11,3048181,50-59
0.27,323,4.76,13.33,2022-02-02,117898,50-59
0,164,0.47,14.68,2023-07-18,4794761,30-39
0.04,20,0.8,15.86,2021-10-03,50444,30-39
0,0,0,5.7,2020-05-26,640,10-19
13.98,3335,49.54,2.88,2022-01-30,23860,80 over
0,22,0.07,12.46,2023-02-02,3765707,10-19
0.04,8,0.4,13.9,2021-06-16,20739,30-39
0,0,0,0.64,2020-02-28,13,0-9
0.5,6621,22.96,5.23,2022-10-16,1312862,70-79
5.6,284,28.2,7.81,2021-01-05,5072,70-79
0,2,0.01,13.7,2022-03-23,1428126,10-19
2.23,41,13.76,12.97,2020-07-26,1835,60-69
6.7,95,29.6,7.3,2020-08-29,1417,70-79
0,38,0.11,9.67,2023-08-01,3215604,0-9
0.04,1188,4.14,12.74,2022-10-11,3183396,50-59
0,164,0.47,14.68,2023-07-24,4827515,30-39
0,24,0.07,12.3,2023-08-11,4156155,10-19
0.44,7908,22.71,5.68,2023-06-05,1806791,70-79
0.13,3233,11.62,10.45,2022-09-18,2549484,60-69
5.76,308,27.38,7.8,2021-01-10,5351,70-79
